symbol,company_name,sector,industry,avg_turnover_cr
GROWW,Billionbrains Garage Ventures Ltd.,,,854.7
NETWEB,Netweb Technologies India Ltd.,,,674.9
TATSILV,,,,603.9
TMCV,Tata Motors Ltd.,,,512.0
POWERINDIA,Hitachi Energy India Ltd.,,,386.9
SWIGGY,Swiggy Ltd.,,,351.8
KISSHT,,,,340.0
CUPID,,,,339.7
MTARTECH,,,,337.5
MEESHO,Meesho Ltd.,,,287.9
HDFCSILVER,,,,284.9
ATHERENERG,Ather Energy Ltd.,,,267.4
GVT&D,GE Vernova T&D India Ltd.,,,263.4
SOLARINDS,Solar Industries India Ltd.,,,247.6
HSCL,Himadri Speciality Chemical Ltd.,,,244.0
VMM,Vishal Mega Mart Ltd.,,,241.4
SAMMAANCAP,Sammaan Capital Ltd.,,,206.3
TARIL,Transformers And Rectifiers (India) Ltd.,,,202.5
IFCI,IFCI Ltd.,,,195.1
NAUKRI,Info Edge (India) Ltd.,,,187.6
APOLLO,,,,182.5
HEG,H.E.G. Ltd.,,,178.8
IEX,Indian Energy Exchange Ltd.,,,177.5
LENSKART,Lenskart Solutions Ltd.,,,169.8
GALLANTT,Gallantt Ispat Ltd.,,,162.8
BHARATCOAL,,,,154.5
ICICIAMC,ICICI Prudential Asset Management Company Ltd.,,,148.7
CMPDI,,,,142.8
HDFCGOLD,,,,141.4
SBISILVER,,,,139.5
GRAPHITE,Graphite India Ltd.,,,136.8
KRN,,,,131.5
LGEINDIA,LG Electronics India Ltd.,,,131.1
ENRIN,Siemens Energy India Ltd.,,,124.8
SAGILITY,Sagility Ltd.,,,124.6
QPOWER,,,,123.3
NTPCGREEN,NTPC Green Energy Ltd.,,,122.7
360ONE,360 ONE WAM Ltd.,,,122.1
FIRSTCRY,Brainbees Solutions Ltd.,,,119.1
COHANCE,Cohance Lifesciences Ltd.,,,116.9
BLS,BLS International Services Ltd.,,,116.1
IRMENERGY,,,,113.4
JINDRILL,,,,111.2
CARTRADE,Cartrade Tech Ltd.,,,110.6
SBICARD,SBI Cards and Payment Services Ltd.,,,108.0
ORIENTTECH,,,,103.3
DEEDEV,,,,102.2
OLECTRA,Olectra Greentech Ltd.,,,102.2
BELRISE,Belrise Industries Ltd.,,,100.5
PCBL,PCBL Chemical Ltd.,,,98.9
M&MFIN,Mahindra & Mahindra Financial Services Ltd.,,,96.9
