symbol,sector,industry,category,notes
SJS,Automobile,Auto Components,Decorative Parts (Logos / Dials),Excel classification
TENNIND,Automobile,Auto Components,Emissions / Exhaust,Excel classification
SEDEMAC,Automobile,Auto Components,Engine Control Systems,Excel classification
BALUFORGE,Automobile,Auto Components,Forgings,Excel classification
CIEINDIA,Automobile,Auto Components,Forgings & Gears,Excel classification
KROSS,Automobile,Auto Components,Forgings (CV),Excel classification
FOSECOIND,Automobile,Auto Components,Foundry Consumables,Excel classification
HAPPYFORGE,Automobile,Auto Components,Heavy Forgings,Excel classification
RANEHOLDIN,Automobile,Auto Components,Holding Company,Excel classification
BELRISE,Automobile,Auto Components,Metal Body Parts,Excel classification
SHRIPISTON,Automobile,Auto Components,Pistons & Rings,Excel classification
SANSERA,Automobile,Auto Components,Precision Forged Parts,Excel classification
BHARATSE,Automobile,Auto Components,Seats,Excel classification
OMAXAUTO,Automobile,Auto Components,Sheet Metal,Excel classification
RML,Automobile,Auto Components,Steering Systems,Excel classification
APCOTEXIND,Automobile,Auto Components,Synthetic Rubber / Latex,Excel classification
WHEELS,Automobile,Auto Components,Wheels,Excel classification
MSUMI,Automobile,Auto Components,Wiring Harness,Excel classification
TMCV,Automobile,OEM,Commercial Vehicles,Demerged CV entity
OLECTRA,Automobile,OEM,Electric Buses,Excel classification
ATHERENERG,Automobile,OEM,Electric Two-Wheelers,Excel classification
SMLMAH,Automobile,OEM,LCV / Buses,Excel classification
ICICIAMC,Banking & Financial Services,Asset Management,Mutual Fund AMC,Excel classification
CRAMC,Banking & Financial Services,Asset Management,Mutual Fund AMC,Excel classification
JSFB,Banking & Financial Services,Banks,Small Finance Bank,Excel classification
INDOTHAI,Banking & Financial Services,Brokerage,Broker,Excel classification
ALGOQUANT,Banking & Financial Services,Brokerage,Fintech Broker,Excel classification
ARSSBL,Banking & Financial Services,Brokerage,Full-Service Broker,Excel classification
GROWW,Banking & Financial Services,Brokerage,Online / Discount Broker,Excel classification
RELIGARE,Banking & Financial Services,Diversified Financial,Diversified,Excel classification
AIIL,Banking & Financial Services,Diversified Financial,Holding & Investment,Excel classification
TI,Banking & Financial Services,Diversified Financial,Holding & Investment,Excel classification
